ID Proof,Location,Division,Department,Visitor Name,Visitor Mobile,Access Card,Visitor Company,To Meet,Remarks,Time In,Time Out,Visit Duration,Logged Out,Host Log,Pass ID,Auth By,Questions,Type of Visitor,Assets
8.36E+11,Mumbai,,IVD,Ermentrude Gutowski,7953167331,B-224/P,Quimba,Randi Goodlud,,10 Sep 2022 08:28AM,,,,,SEBI/28827910/52,,"Laptop Sr. No. :,Place of Meeting: 5SW FLR",Vendor,NA
3.08E+11,Mumbai,Corporate,LIB,Kordula Morrad,8663665188,J-668/P,Thoughtbridge,Maressa Seleway,BY CALL,06 Oct 2022 10:34AM,,,Manually,,SEBI/86312506/47,,"Laptop Sr. No. :,Place of Meeting: 3OH FLR",Vendor,NA
6.67E+11,Mumbai,Corporate,GSD,Rudolfo Jewkes,6642259985,O-074/P,Skivee,Annora Overlow,BY MAIL,05 Sep 2022 12:48AM,24/01/22 10:22,,Manually,,SEBI/59718051/55,,"Laptop Sr. No. :,Place of Meeting: 2CF FLR",Visitor,NA
1.63E+11,Mumbai,Corporate,OCH,Pauly Tayloe,8712629536,N-147/P,Meezzy,Alphonso Salack,BY CALL,28 Sep 2022 06:35PM,,,,,SEBI/89618811/86,,"Laptop Sr. No. :,Place of Meeting: 0OU FLR",,NA
2.62E+11,Mumbai,Corporate,IVD,Nita Whitlam,8622819886,L-548/P,Eabox,Mendy Ottewell,AS PER NID,17 Sep 2022 04:42AM,,,,,SEBI/69228531/44,,"Laptop Sr. No. :,Place of Meeting: 4VF FLR",Visitor,NA
1.76E+11,Mumbai,Corporate,CFD,Maryellen Selley,7506029416,P-459/P,Yambee,Hallie Kingswood,AS PER NID,12 Oct 2022 03:03AM,09/11/22 10:20,,,,SEBI/17794376/32,,"Laptop Sr. No. :,Place of Meeting: 6PE FLR",,NA
4.16E+11,Mumbai,Corporate,CFD,Kaspar Linder,4371167962,E-475/P,CBI,Zarah Tulk,BY CALL,14 Sep 2022 04:10AM,,,,,SEBI/71914688/45,,"Laptop Sr. No. :,Place of Meeting: 8NV FLR",Vendor,NA
7.50E+11,Mumbai,Corporate,ISD1,Ulises Hing,2706143158,D-328/P,Jabberstorm,Horacio Lissandrini,BY CALL,23 Sep 2022 11:06PM,,,,,SEBI/99113340/96,,"Laptop Sr. No. :,Place of Meeting: 1YR FLR",,NA
4.47E+11,Mumbai,Corporate,IVD,Berny Songest,8892561264,I-747/P,Yoveo,Shelton Fullard,BY MAIL,16 Sep 2022 02:35PM,,,,,SEBI/59958544/83,"""""","Laptop Sr. No. :,Place of Meeting: 7SX FLR",Vendor,NA
9.13E+11,Mumbai,Corporate,IDT,Jerrilyn Rowden,3009508683,P-116/P,Bluejam,Sydel Lund,BY MAIL,30 Sep 2022 05:09PM,09/05/22 11:50,,,,SEBI/64346199/19,,"Laptop Sr. No. :,Place of Meeting: 5RE FLR",Vendor,NA
2.66E+11,Mumbai,,OCH,Carver Jacquest,8466734095,L-395/P,Quimm,Lindy Mallion,,03 Sep 2022 11:59AM,,,,,SEBI/83528733/93,,"Laptop Sr. No. :,Place of Meeting: 5YW FLR",Vendor,NA
8.01E+11,Mumbai,Corporate,IDT,Fanni Van Weedenburg,2928332278,D-074/P,DabZ,Winona Woollin,BY CALL,15 Oct 2022 04:06AM,,,,,SEBI/19811988/08,,"Laptop Sr. No. :,Place of Meeting: 9TO FLR",,NA
6.81E+11,Mumbai,Corporate,CFD,Shawna Tarburn,9928197056,Q-063/P,Katz,Berke Argont,BY CALL,01 Nov 2022 06:24AM,,,,,SEBI/35446400/75,,"Laptop Sr. No. :,Place of Meeting: 5KQ FLR",Visitor,NA
5.98E+11,Mumbai,Corporate,IDT,Kerrill Fenn,3427309358,M-250/P,Bubblebox,Ahmed Seys,AS PER NID,27 Sep 2022 07:51PM,16/07/22 10:35,,,,SEBI/56379006/29,,"Laptop Sr. No. :,Place of Meeting: 5FB FLR",Visitor,NA
9.83E+11,Mumbai,Corporate,MIRSD,Temp Terne,3966709012,R-287/P,Tazzy,Carolee Moggie,BY MAIL,26 Oct 2022 01:09PM,,,,,SEBI/38223295/96,,"Laptop Sr. No. :,Place of Meeting: 2FL FLR",,NA
2.95E+11,Mumbai,Corporate,MIRSD,Nan Brendel,4194843051,C-833/P,Jayo,Margarita D'Ambrogio,AS PER NID,16 Sep 2022 07:20AM,18/11/21 06:58,,,,SEBI/80210606/62,,"Laptop Sr. No. :,Place of Meeting: 1GC FLR",Visitor,NA
7.09E+11,Mumbai,Corporate,PNS,Freddie Millins,5502106604,N-980/P,Skyba,Ansell Feehery,AS PER NID,29 Oct 2022 01:37AM,,,Manually,,SEBI/48629818/51,,"Laptop Sr. No. :,Place of Meeting: 6TA FLR",Visitor,NA
7.97E+11,Mumbai,Corporate,PNS,Torie Crannell,4042728992,I-245/P,Yakidoo,Turner Ratke,BY MAIL,08 Oct 2022 07:17AM,,,,,SEBI/65418622/36,,"Laptop Sr. No. :,Place of Meeting: 6RO FLR",,NA
2.25E+11,Mumbai,Corporate,OCH,Cybill Mears,5678384753,C-135/P,Skiba,Rasla Carrabott,BY MAIL,07 Sep 2022 06:12PM,,,,,SEBI/55969670/74,,"Laptop Sr. No. :,Place of Meeting: 6NU FLR",,NA
5.05E+11,Mumbai,Corporate,GSD,Noni Pulham,6038288015,K-617/P,Twitterwire,Terza Shopcott,BY MAIL,22 Sep 2022 07:54PM,24/12/21 15:25,,Manually,,SEBI/48061773/79,,"Laptop Sr. No. :,Place of Meeting: 6UN FLR",Visitor,NA
5.85E+11,Mumbai,Corporate,OCH,Gertrudis Fawthrop,6789884490,K-688/P,Tagpad,Idalina Woodison,BY MAIL,12 Oct 2022 07:29AM,,,,,SEBI/24722673/07,,"Laptop Sr. No. :,Place of Meeting: 4ZK FLR",,NA
3.27E+11,Mumbai,Corporate,ISD1,Rhonda Nayshe,5003544070,G-788/P,Aivee,Neilla Mosen,BY MAIL,17 Oct 2022 09:53PM,18/09/22 01:51,,,,SEBI/89464485/40,,"Laptop Sr. No. :,Place of Meeting: 4EE FLR",Visitor,NA
2.32E+11,Mumbai,Corporate,IVD,Perkin Anster,9273938771,K-518/P,Topiclounge,Eliza Morden,BY MAIL,12 Oct 2022 12:28AM,,,,,SEBI/02549176/80,,"Laptop Sr. No. :,Place of Meeting: 0MJ FLR",Vendor,NA
1.54E+11,Mumbai,Corporate,MIRSD,Madelon Wynett,5176693261,N-971/P,Trilia,Whitaker MacKereth,AS PER NID,04 Oct 2022 07:24PM,07/07/22 22:25,,,,SEBI/92000684/81,,"Laptop Sr. No. :,Place of Meeting: 7ZE FLR",Visitor,NA
8.72E+11,Mumbai,Corporate,GSD,Teddy Spicer,2019854664,Q-621/P,Yodoo,Orv Sebring,BY MAIL,19 Oct 2022 12:29PM,,,,,SEBI/03997471/74,,"Laptop Sr. No. :,Place of Meeting: 9UP FLR",,NA
6.86E+11,Mumbai,Corporate,PNS,Redford Stanbra,2723949109,X-656/P,Jaxnation,Korrie Luckwell,BY MAIL,03 Sep 2022 12:35PM,,,,,SEBI/17236078/60,,"Laptop Sr. No. :,Place of Meeting: 9OV FLR",Visitor,NA
8.29E+11,Mumbai,Corporate,IVD,Lemuel Tackes,3256577182,U-974/P,Trunyx,Conny O'Flynn,BY MAIL,10 Oct 2022 09:13PM,,,,,SEBI/60429888/53,,"Laptop Sr. No. :,Place of Meeting: 9UM FLR",,NA
3.59E+11,Mumbai,Corporate,MIRSD,Dale Bauchop,5208545177,X-088/P,Latz,Jesus Corona,AS PER NID,13 Oct 2022 12:41AM,17/07/22 21:08,,,,SEBI/54997951/19,,"Laptop Sr. No. :,Place of Meeting: 4AJ FLR",Visitor,NA
9.15E+11,Mumbai,,GSD,Tarah Fell,2086102526,D-600/P,Dynazzy,Franklin Shillito,,10 Oct 2022 06:01PM,20/09/22 21:01,,Manually,,SEBI/51616650/85,,"Laptop Sr. No. :,Place of Meeting: 2BS FLR",Vendor,NA
7.97E+11,Mumbai,,CFD,Manya Tyndall,9815573158,Z-057/P,Voolith,Agnesse Commucci,,31 Oct 2022 01:09AM,08/12/22 07:55,,,,SEBI/81345318/34,,"Laptop Sr. No. :,Place of Meeting: 9KZ FLR",,NA
2.10E+11,Mumbai,Corporate,IVD,Axe Biggen,1859805893,R-222/P,Flipstorm,Justinn Kail,BY MAIL,25 Sep 2022 02:15AM,20/10/22 08:56,,,,SEBI/60818952/22,,"Laptop Sr. No. :,Place of Meeting: 5HL FLR",Vendor,NA
8.57E+11,Mumbai,Corporate,CFD,Giffer Kenworthy,7114107758,V-585/P,Digitube,Maxy Gyurkovics,BY CALL,06 Sep 2022 08:05PM,,,,,SEBI/74298103/06,,"Laptop Sr. No. :,Place of Meeting: 4ZR FLR",Visitor,NA
4.86E+11,Mumbai,Corporate,IVD,Rollie Borsnall,6533973130,G-074/P,Tekfly,Elwood Tuck,AS PER NID,03 Oct 2022 04:50AM,,,Manually,,SEBI/39426541/86,,"Laptop Sr. No. :,Place of Meeting: 2KY FLR",Vendor,NA
3.37E+11,Mumbai,,OIAE,Solomon O'Mullally,9848589840,R-004/P,Twiyo,Lily Gueinn,,06 Oct 2022 10:06PM,13/11/21 16:42,,,,SEBI/42272558/95,,"Laptop Sr. No. :,Place of Meeting: 9JJ FLR",,NA
9.16E+11,Mumbai,Corporate,OIAE,Marney Gilogly,1617057933,V-935/P,Browsezoom,Roxie Clingoe,AS PER NID,03 Sep 2022 01:10AM,,,,,SEBI/86839536/06,,"Laptop Sr. No. :,Place of Meeting: 6OP FLR",Visitor,NA
5.24E+11,Mumbai,Corporate,CFD,Diane-marie Katz,9335471777,B-132/P,Jayo,Tabb Tudball,AS PER NID,06 Oct 2022 04:44PM,26/12/21 20:17,,Manually,,SEBI/85143392/03,,"Laptop Sr. No. :,Place of Meeting: 4FX FLR",Visitor,NA
9.63E+11,Mumbai,Corporate,IDT,Tonie Shord,4524902137,D-168/P,Gabspot,Barr Brownbridge,AS PER NID,31 Oct 2022 02:30PM,,,,,SEBI/42447501/30,,"Laptop Sr. No. :,Place of Meeting: 2CR FLR",Visitor,NA
7.82E+11,Mumbai,Corporate,PNS,Tamma McTerrelly,8706470598,T-480/P,Yombu,Dosi Dashper,BY MAIL,28 Sep 2022 03:38AM,,,Manually,,SEBI/90159015/37,,"Laptop Sr. No. :,Place of Meeting: 7MX FLR",Vendor,NA
3.36E+11,Mumbai,Corporate,MIRSD,Branden Giffon,4015173085,D-895/P,Realcube,Chevalier Crichmer,BY MAIL,03 Oct 2022 11:02AM,,,Manually,,SEBI/51985213/63,,"Laptop Sr. No. :,Place of Meeting: 3CT FLR",Vendor,NA
4.90E+11,Mumbai,,PNS,Ellissa Gudyer,1183703513,A-034/P,Dabjam,Levon Travis,,10 Oct 2022 05:27PM,28/08/22 14:36,,,,SEBI/16955713/24,,"Laptop Sr. No. :,Place of Meeting: 6WX FLR",,NA
2.24E+11,Mumbai,,OCH,Jewel Delamere,1836438516,M-899/P,Einti,Hammad Hickisson,,25 Sep 2022 08:56AM,,,,,SEBI/79087217/63,,"Laptop Sr. No. :,Place of Meeting: 0HD FLR",Vendor,NA
8.20E+11,Mumbai,Corporate,IDT,Susannah Dukesbury,1565067386,W-918/P,Skyndu,Piotr Simioni,AS PER NID,30 Sep 2022 04:03AM,,,Manually,,SEBI/28744264/96,,"Laptop Sr. No. :,Place of Meeting: 7JS FLR",Visitor,NA
2.69E+11,Mumbai,,LIB,Agata Longworthy,7977975148,Q-252/P,NINE STAR BROKING,Fawn Yanuk,,29 Sep 2022 08:09AM,,,,,SEBI/46555244/53,,"Laptop Sr. No. :,Place of Meeting: 7XA FLR",,NA
9.67E+11,Mumbai,,OCH,Cathi Barbery,8469148290,O-125/P,Aimbo,Dud Verner,,21 Sep 2022 01:22AM,27/01/22 20:14,,,,SEBI/97294792/48,,"Laptop Sr. No. :,Place of Meeting: 8CY FLR",Visitor,NA
9.38E+11,Mumbai,Corporate,OIAE,Guillermo Lorente,2178737731,B-649/P,Midel,Zach Bousfield,BY MAIL,13 Oct 2022 07:07PM,06/08/22 02:01,,,,SEBI/20301788/43,,"Laptop Sr. No. :,Place of Meeting: 1SI FLR",Visitor,NA
6.69E+11,Mumbai,Corporate,PNS,Ysabel Nissle,3439780140,P-220/P,Camimbo,Sari Klesl,BY MAIL,16 Oct 2022 01:50PM,30/04/22 13:15,,,,SEBI/87761599/79,,"Laptop Sr. No. :,Place of Meeting: 0BO FLR",,NA
3.42E+11,Mumbai,Corporate,OIAE,Jamie Bruhnke,9156210903,N-100/P,Bubbletube,George Casterton,BY CALL,22 Sep 2022 08:22PM,,,,,SEBI/25239382/11,,"Laptop Sr. No. :,Place of Meeting: 8WE FLR",Vendor,NA
7.52E+11,Mumbai,Corporate,MIRSD,Carol Kinner,6416627339,M-851/P,Kwimbee,Tabbi Churchin,BY CALL,09 Oct 2022 11:12PM,,,,,SEBI/05079021/19,"""""","Laptop Sr. No. :,Place of Meeting: 4DS FLR",,NA
3.44E+11,Mumbai,Corporate,FMD,Chev Rhodus,2282655103,H-534/P,Vitz,Jeno Bodd,AS PER NID,17 Oct 2022 12:05PM,,,,,SEBI/24032073/36,,"Laptop Sr. No. :,Place of Meeting: 5VB FLR",Vendor,NA
9.94E+11,Mumbai,Corporate,MIRSD,Pearle Siseland,9025300953,N-703/P,Skyba,Darren Baldam,BY MAIL,10 Sep 2022 06:40AM,24/01/22 04:26,,,,SEBI/63156655/34,,"Laptop Sr. No. :,Place of Meeting: 9HB FLR",,NA
1.78E+11,Mumbai,,MIRSD,Alleyn Bourrel,4851215525,A-906/P,Vinte,Way Boyen,,03 Sep 2022 07:03PM,30/09/22 17:42,,Manually,,SEBI/45722532/44,,"Laptop Sr. No. :,Place of Meeting: 3TZ FLR",Visitor,NA
9.80E+11,Mumbai,Corporate,MIRSD,Kala Jonke,6987398291,Q-646/P,Flashset,Ad Gilling,BY MAIL,20 Sep 2022 11:02PM,,,,,SEBI/92350541/26,,"Laptop Sr. No. :,Place of Meeting: 5YO FLR",Vendor,NA
3.05E+11,Mumbai,Corporate,IDT,Albert Mardell,7506029416,H-026/P,Kwilith,Penn Guillotin,BY CALL,17 Oct 2022 05:07AM,01/12/21 23:05,,,,SEBI/73096149/80,,"Laptop Sr. No. :,Place of Meeting: 3RQ FLR",,NA
1.46E+11,Mumbai,Corporate,OCH,Sheelah Orbine,7506029416,U-472/P,Photobug,Nancie Nezey,BY MAIL,29 Oct 2022 04:51AM,,,Manually,,SEBI/31611017/45,,"Laptop Sr. No. :,Place of Meeting: 0HG FLR",,NA
8.73E+11,Mumbai,Corporate,MIRSD,Minnaminnie Bocking,8653549055,D-619/P,Youspan,Horton Enos,BY CALL,14 Oct 2022 12:45PM,,,,,SEBI/02002042/55,,"Laptop Sr. No. :,Place of Meeting: 0JS FLR",,NA
7.13E+11,Mumbai,Corporate,FMD,Cybill Hedditeh,4236860687,I-554/P,Gigabox,Janette McPhate,AS PER NID,12 Sep 2022 05:03AM,,,,,SEBI/81500746/33,,"Laptop Sr. No. :,Place of Meeting: 3IO FLR",Visitor,NA
8.53E+11,Mumbai,Corporate,GSD,Francisca Prothero,3276234557,G-611/P,Edgetag,Farrah Speirs,AS PER NID,17 Oct 2022 04:48AM,,,,,SEBI/86248623/94,,"Laptop Sr. No. :,Place of Meeting: 1HG FLR",,NA
3.98E+11,Mumbai,,OCH,Nelli Janas,9544997065,S-379/P,Plambee,Rosamond Steaning,,03 Oct 2022 04:50PM,26/12/21 01:32,,Manually,,SEBI/46125756/67,,"Laptop Sr. No. :,Place of Meeting: 3YH FLR",Vendor,NA
2.07E+11,Mumbai,Corporate,LIB,Reinhard Esposito,2767748208,G-943/P,Blogpad,Jarrod Ginn,BY CALL,03 Sep 2022 07:42PM,,,Manually,,SEBI/41264207/07,,"Laptop Sr. No. :,Place of Meeting: 0ML FLR",Vendor,NA
3.02E+11,Mumbai,Corporate,FMD,Megan Flello,8451821373,B-882/P,Innojam,Even Upstone,BY CALL,30 Sep 2022 07:35AM,10/10/22 06:09,,Manually,,SEBI/63844027/22,,"Laptop Sr. No. :,Place of Meeting: 6PQ FLR",,NA
4.80E+11,Mumbai,Corporate,CFD,Nikolia Sillito,3506280091,A-472/P,Wikizz,Tommy Cavnor,BY CALL,16 Sep 2022 07:26PM,19/07/22 15:55,,,,SEBI/17668391/01,,"Laptop Sr. No. :,Place of Meeting: 5PQ FLR",Visitor,NA
4.27E+11,Mumbai,,FMD,Pippa Lummasana,3795996442,K-416/P,Livepath,Aimil Chappell,,04 Oct 2022 09:37PM,25/07/22 15:40,,Manually,,SEBI/50839047/94,,"Laptop Sr. No. :,Place of Meeting: 1GS FLR",Visitor,NA
6.54E+11,Mumbai,Corporate,IVD,Kayla Dimmick,2912349585,Q-483/P,Tagpad,Chrissy Oxbrow,AS PER NID,31 Oct 2022 01:24PM,15/06/22 03:36,,Manually,,SEBI/65410122/29,,"Laptop Sr. No. :,Place of Meeting: 9JB FLR",Vendor,NA
7.49E+11,Mumbai,,PNS,Ricard Epine,4442602958,Y-911/P,Eabox,Celesta Stanyland,,17 Oct 2022 08:01PM,,,,,SEBI/65870964/08,,"Laptop Sr. No. :,Place of Meeting: 5TI FLR",Visitor,NA
6.43E+11,Mumbai,,CFD,Elladine Meaney,4996976010,Z-715/P,Twiyo,Bevin Enrico,,12 Sep 2022 08:48PM,21/04/22 04:27,,,,SEBI/89791463/85,,"Laptop Sr. No. :,Place of Meeting: 5ZE FLR",Vendor,NA
4.64E+11,Mumbai,,FMD,Gelya Winslet,8503146365,K-487/P,Skyvu,Elnore Greenhall,,16 Sep 2022 12:00PM,24/09/22 13:03,,,,SEBI/42761867/89,,"Laptop Sr. No. :,Place of Meeting: 8YU FLR",,NA
3.01E+11,Mumbai,Corporate,LIB,Olivie Ninnis,2908117253,L-547/P,Zooveo,Julianna Mears,BY MAIL,18 Sep 2022 10:04PM,30/12/21 07:28,,,,SEBI/99203190/23,,"Laptop Sr. No. :,Place of Meeting: 1OY FLR",Vendor,NA
6.66E+11,Mumbai,Corporate,FMD,Ingeberg Gantzer,8594535912,K-909/P,Dazzlesphere,Erl Takle,BY MAIL,17 Oct 2022 10:26AM,,,Manually,,SEBI/81855791/92,,"Laptop Sr. No. :,Place of Meeting: 1QR FLR",Vendor,NA
7.82E+11,Mumbai,Corporate,LIB,Collin Petzolt,8734842294,S-691/P,Photobug,Heidi Timmens,AS PER NID,13 Oct 2022 04:15PM,27/05/22 11:14,,,,SEBI/40772857/44,,"Laptop Sr. No. :,Place of Meeting: 0AR FLR",Vendor,NA
5.66E+11,Mumbai,Corporate,LIB,Erena Sante,3853669400,E-385/P,Topicstorm,Redford St. Quintin,BY MAIL,20 Oct 2022 06:35AM,,,Manually,,SEBI/16697913/31,,"Laptop Sr. No. :,Place of Meeting: 4NY FLR",,NA
7.33E+11,Mumbai,Corporate,OIAE,Christina Giron,2193335186,B-904/P,Feedbug,Katy Seydlitz,BY CALL,05 Oct 2022 12:12AM,11/03/22 19:08,,,,SEBI/42799348/38,,"Laptop Sr. No. :,Place of Meeting: 0VB FLR",Visitor,NA
1.94E+11,Mumbai,Corporate,CFD,Merilyn Mell,9098773567,P-437/P,Browsetype,Caryl Emerine,BY CALL,27 Sep 2022 05:45AM,30/09/22 10:15,,,,SEBI/44472579/05,,"Laptop Sr. No. :,Place of Meeting: 8YD FLR",,NA
3.66E+11,Mumbai,Corporate,MIRSD,Nelia Dreinan,7646566546,I-623/P,Quatz,Angelika McCaghan,BY MAIL,29 Sep 2022 04:21AM,,,,,SEBI/32026590/41,,"Laptop Sr. No. :,Place of Meeting: 9RK FLR",Visitor,NA
8.32E+11,Mumbai,Corporate,MIRSD,Linnie Patriche,5717706907,X-400/P,Thoughtsphere,Maighdiln Tudge,AS PER NID,09 Oct 2022 08:55AM,,,,,SEBI/18165616/47,,"Laptop Sr. No. :,Place of Meeting: 0LU FLR",,NA
6.85E+11,Mumbai,,IDT,Rudie Kermott,4397298785,A-230/P,Agimba,Louella Diable,,24 Sep 2022 08:52AM,06/11/22 18:48,,,,SEBI/16936260/03,,"Laptop Sr. No. :,Place of Meeting: 7LP FLR",,NA
7.34E+11,Mumbai,Corporate,OIAE,Jo Quinion,5627393844,D-148/P,Trilia,Witty Gribble,BY CALL,09 Oct 2022 10:47PM,01/06/22 05:26,,,,SEBI/99099746/12,,"Laptop Sr. No. :,Place of Meeting: 1VT FLR",Vendor,NA
1.95E+11,Mumbai,Corporate,FMD,Ingaberg Kalkofer,8307652537,X-922/P,Myworks,Sande Rowbrey,BY CALL,02 Sep 2022 12:27AM,,,,,SEBI/05884467/47,,"Laptop Sr. No. :,Place of Meeting: 1QM FLR",Vendor,NA
3.57E+11,Mumbai,Corporate,FMD,Connor Lias,6428093712,X-021/P,Eare,Owen Priestland,AS PER NID,05 Sep 2022 05:01AM,19/03/22 03:23,,,,SEBI/97716911/70,,"Laptop Sr. No. :,Place of Meeting: 0BC FLR",Visitor,NA
2.86E+11,Mumbai,Corporate,IVD,Jeana Heal,6281272243,Z-516/P,Feedbug,Kirsti Weatherdon,BY MAIL,27 Sep 2022 10:15PM,,,Manually,,SEBI/12296493/67,,"Laptop Sr. No. :,Place of Meeting: 3LT FLR",,NA
2.89E+11,Mumbai,Corporate,GSD,Marlyn Mariet,7506029416,Y-644/P,Meemm,Kirsten O'Kennedy,AS PER NID,18 Oct 2022 09:26PM,,,,,SEBI/75605869/73,,"Laptop Sr. No. :,Place of Meeting: 0QV FLR",,NA
3.29E+11,Mumbai,Corporate,OCH,Marilyn Bedinham,4308112258,R-779/P,Oyope,Amargo Solman,BY MAIL,11 Oct 2022 09:31PM,26/01/22 21:48,,,,SEBI/61340999/04,,"Laptop Sr. No. :,Place of Meeting: 4OD FLR",,NA
5.24E+11,Mumbai,Corporate,IDT,Jamaal Dofty,7861714412,B-634/P,Mydeo,Carmine Godfery,BY CALL,24 Oct 2022 05:43PM,11/07/22 12:45,,,,SEBI/44158576/74,,"Laptop Sr. No. :,Place of Meeting: 5QF FLR",Visitor,NA
5.33E+11,Mumbai,,PNS,Alyssa Castellan,7272037104,O-126/P,Leexo,Nanette Bratty,,16 Oct 2022 01:00PM,,,,,SEBI/52630179/64,,"Laptop Sr. No. :,Place of Meeting: 8WD FLR",,NA
2.08E+11,Mumbai,Corporate,IDT,Farleigh Treske,9625559933,V-404/P,Youtags,Sherlock Romand,AS PER NID,10 Oct 2022 10:14PM,04/01/22 18:41,,Manually,,SEBI/28438572/04,"""""","Laptop Sr. No. :,Place of Meeting: 4KR FLR",,NA
